ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
72,26446651976,8785200282,8785200291,26447552567,-17661901985,450291,-176619019.850,4502.910
73,26447658369,8801193078,8801193087,26463545280,-17654408742,7943451,-176544087.420,79434.510
74,26463651130,8805172259,8805172268,26467524359,-17660415481,1936610,-176604154.810,19366.100
75,26467630140,8900173008,8900173017,26562525390,-17614904752,47447620,-176149047.520,474476.200
76,26562631258,8901193063,8901193072,26563545187,-17661895155,456960,-176618951.550,4569.600
77,26563650977,8996193737,8996193745,26658546165,-17614904830,47447590,-176149048.300,474475.900
78,26658652142,9001193051,9001193058,26663545235,-17659905634,2446543,-176599056.340,24465.430
79,26663651113,9002200340,9002200349,26664552578,-17661901501,450728,-176619015.010,4507.280
80,26664658381,9022193292,9022193298,26684545548,-17652408669,9943580,-176524086.690,99435.800
81,26684651443,9101193082,9101193090,26763545398,-17622905334,39446973,-176229053.340,394469.730
82,26763651216,9192193909,9192193918,26854546107,-17616904748,45447441,-176169047.480,454474.410
83,26854651962,9193200362,9193200371,26855552599,-17661901914,450314,-176619019.140,4503.140
84,26855658424,9201193127,9201193138,26863545352,-17658408755,3943458,-176584087.550,39434.580
85,26863651137,9213179162,9213179169,26875531433,-17656412119,5940144,-176564121.190,59401.440
86,26875639013,9301193035,9301193044,26963545344,-17618399139,43953161,-176183991.390,439531.610
87,26963651287,9302200258,9302200266,26964552435,-17661901599,450570,-176619015.990,4505.700
88,26964658274,9322191890,9322191897,26984544103,-17652409295,9942911,-176524092.950,99429.110
89,26984649907,9347190413,9347190422,27009542792,-17649905932,12446438,-176499059.320,124464.380
90,27009648588,9398185427,9398185434,27060537756,-17636907741,25444580,-176369077.410,254445.800
91,27060643724,9401193135,9401193146,27063545338,-17660901390,1450801,-176609013.900,14508.010
92,27063651156,9496192982,9496192991,27158545343,-17614905263,47447089,-176149052.630,474470.890
93,27158651329,9497200475,9497200484,27159552669,-17661901519,450665,-176619015.190,4506.650
94,27159658489,9500188957,9500188966,27162541271,-17660910918,1441386,-176609109.180,14413.860
95,27162647160,9501194024,9501194032,27163546266,-17661902685,449549,-176619026.850,4495.490
96,27163652043,9551189796,9551189803,27213542071,-17637407257,24945010,-176374072.570,249450.100
97,27213647934,9601193819,9601193830,27263546020,-17637403152,24949037,-176374031.520,249490.370
98,27263651837,9602184499,9602184507,27264536646,-17661909738,442400,-176619097.380,4424.000
99,27264642450,9621965898,9621965907,27284318183,-17652514414,9837862,-176525144.140,98378.620
100,27284424164,9653184707,9653184715,27315537009,-17646795875,15556418,-176467958.750,155564.180
summary: samples=100 offset_avg_cycles=-17648891422.670 offset_avg_us=-176488914.227 latency_avg_cycles=13460846.420 offset_min=-17662273880 offset_max=-17614904752
