ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,19153785782,1519224846,1519224851,19181577514,-17648456799,13895863,-176484567.990,138958.630
2,19181685278,1519739646,1519739656,19182091887,-17662148931,203299,-176621489.310,2032.990
3,19182197880,1520195878,1520195887,19182548169,-17662177142,175140,-176621771.420,1751.400
4,19182653938,1538483801,1538483809,19200835964,-17653261146,9091009,-176532611.460,90910.090
5,19200941820,1619194224,1619194232,19281546657,-17622050010,40302414,-176220500.100,403024.140
6,19281652739,1695193966,1695193974,19357546384,-17624405591,37946818,-176244055.910,379468.180
7,19357652410,1696200332,1696200340,19358552655,-17661902196,450118,-176619021.960,4501.180
8,19358658543,1701193064,1701193074,19363545301,-17659908853,2443374,-176599088.530,24433.740
9,19363651070,1716171815,1716171824,19378524075,-17654915753,7436498,-176549157.530,74364.980
10,19378629890,1743224678,1743224686,19405583485,-17648882005,13476793,-176488820.050,134767.930
11,19405689570,1743614354,1743614361,19405966697,-17662213776,138560,-176622137.760,1385.600
12,19406072702,1744203693,1744203704,19406555848,-17662110576,241567,-176621105.760,2415.670
13,19406661589,1745200318,1745200327,19407552438,-17661906691,445420,-176619066.910,4454.200
14,19407658236,1746184326,1746184332,19408536508,-17661913043,439133,-176619130.430,4391.330
15,19408642345,1747200318,1747200326,19409552516,-17661897108,455081,-176618971.080,4550.810
16,19409658309,1764204733,1764204741,19426557061,-17653902948,8449372,-176539029.480,84493.720
17,19426662910,1801193010,1801193021,19463545189,-17643911034,18441134,-176439110.340,184411.340
18,19463651119,1802200285,1802200294,19464552501,-17661901520,450686,-176619015.200,4506.860
19,19464658343,1809219242,1809219252,19471571499,-17658895674,3456573,-176588956.740,34565.730
20,19471677286,1901184345,1901184351,19563536776,-17616422683,45929742,-176164226.830,459297.420
21,19563642792,1952184784,1952184790,19614536992,-17636905105,25447097,-176369051.050,254470.970
22,19614642811,1953216625,1953216634,19615568911,-17661889231,463045,-176618892.310,4630.450
23,19615674750,1967211819,1967211829,19629564065,-17655407583,6944652,-176554075.830,69446.520
24,19629670004,1967544589,1967544598,19629896715,-17662238766,113351,-176622387.660,1133.510
25,19630002485,2001193008,2001193015,19663545415,-17645580938,16771461,-176455809.380,167714.610
26,19663651371,2003184618,2003184623,19665536796,-17661409463,942710,-176614094.630,9427.100
27,19665642703,2054200494,2054200500,19716552821,-17636897265,25455056,-176368972.650,254550.560
28,19716658718,2055185587,2055185606,19717537735,-17661912630,439499,-176619126.300,4394.990
29,19717643526,2075023711,2075023715,19737375974,-17652486037,9866222,-176524860.370,98662.220
30,19737481798,2101193878,2101193884,19763546129,-17649320082,13032162,-176493200.820,130321.620
31,19763652011,2105189240,2105189249,19767541464,-17660407493,1944722,-176604074.930,19447.220
32,19767647319,2156185405,2156185413,19818537817,-17636907159,25445245,-176369071.590,254452.450
33,19818643649,2157200243,2157200252,19819552457,-17661897805,454399,-176618978.050,4543.990
34,19819658276,2159216662,2159216672,19821568944,-17661396943,955329,-176613969.430,9553.290
35,19821674774,2201193124,2201193133,19863545313,-17641416915,20935265,-176414169.150,209352.650
36,19863651133,2217035952,2217035960,19879388245,-17654483733,7868552,-176544837.330,78685.520
37,19879494185,2301193044,2301193055,19963545293,-17620326689,42025548,-176203266.890,420255.480
38,19963651123,2302189122,2302189130,19964541396,-17661907133,445132,-176619071.330,4451.320
39,19964647224,2322218528,2322218538,19984570725,-17652390441,9961745,-176523904.410,99617.450
40,19984676589,2351209542,2351209551,20013569260,-17647913378,14446331,-176479133.780,144463.310
41,20013675373,2352022276,2352022286,20014374556,-17662002683,349586,-176620026.830,3495.860
42,20014480523,2360188985,2360188993,20022541348,-17658321946,4030408,-176583219.460,40304.080
43,20022649066,2401193712,2401193723,20063546041,-17641903836,20448482,-176419038.360,204484.820
44,20063651902,2411189273,2411189280,20073541606,-17657407477,4944848,-176574074.770,49448.480
45,20073647407,2412208520,2412208530,20074560793,-17661895575,456688,-176618955.750,4566.880
46,20074666694,2432159990,2432159996,20094512371,-17652429539,9922835,-176524295.390,99228.350
47,20094618350,2462189507,2462189514,20124541762,-17647390545,14961702,-176473905.450,149617.020
48,20124647607,2501193892,2501193899,20163546398,-17642903107,19449392,-176429031.070,194493.920
49,20163652415,2513193278,2513193287,20175545652,-17656405751,5946614,-176564057.510,59466.140
50,20175651566,2513496167,2513496175,20175848348,-17662253786,98387,-176622537.860,983.870
51,20175954130,2514184723,2514184728,20176536907,-17662060793,291386,-176620607.930,2913.860
52,20176642627,2532875125,2532875134,20195227263,-17653059815,9292313,-176530598.150,92923.130
53,20195333065,2564184741,2564184746,20226537213,-17646750395,15602071,-176467503.950,156020.710
54,20226643239,2601193078,2601193086,20263545240,-17643901157,18450996,-176439011.570,184509.960
55,20263651070,2615184722,2615184727,20277536979,-17655409300,6942952,-176554093.000,69429.520
56,20277642850,2616216567,2616216576,20278568907,-17661889307,463024,-176618893.070,4630.240
57,20278674823,2636216134,2636216145,20298568303,-17652405423,9946734,-176524054.230,99467.340
58,20298674227,2666184999,2666185004,20328537284,-17647420754,14931526,-176474207.540,149315.260
59,20328643139,2701193100,2701193108,20363545233,-17644901082,17451043,-176449010.820,174510.430
60,20363651046,2766194527,2766194539,20428546821,-17629904400,32447881,-176299044.000,324478.810
61,20428652664,2767200368,2767200377,20429552646,-17661902282,449986,-176619022.820,4499.860
62,20429658495,2787161194,2787161204,20449513382,-17652424739,9927438,-176524247.390,99274.380
63,20449619190,2801193059,2801193068,20463545180,-17655389121,6962990,-176553891.210,69629.900
64,20463651056,2887172476,2887172486,20549524814,-17619415454,42936874,-176194154.540,429368.740
65,20549630780,2901192986,2901192995,20563545128,-17655394963,6957169,-176553949.630,69571.690
66,20563650937,2987188703,2987188708,20649541128,-17619407327,42945093,-176194073.270,429450.930
67,20649646955,2991189707,2991189714,20653542022,-17660404778,1947530,-176604047.780,19475.300
68,20653647871,2992185174,2992185183,20654537312,-17661907413,444716,-176619074.130,4447.160
69,20654643082,3001193857,3001193862,20663546026,-17657900694,4451469,-176579006.940,44514.690
70,20663651848,3023189286,3023189295,20685541717,-17651407492,10944930,-176514074.920,109449.300
71,20685647711,3074189240,3074189249,20736541736,-17636905479,25447008,-176369054.790,254470.080
72,20736647781,3101193800,3101193810,20763546036,-17648903103,13449122,-176489031.030,134491.220
73,20763651918,3102188905,3102188914,20764541242,-17661907670,444657,-176619076.700,4446.570
74,20764647167,3122068350,3122068360,20784420557,-17652465507,9886690,-176524655.070,98866.900
75,20784526346,3125184790,3125184796,20787537019,-17660846889,1505333,-176608468.890,15053.330
76,20787642916,3176204804,3176204814,20838557030,-17636895164,25457052,-176368951.640,254570.520
77,20838662913,3201193096,3201193105,20863545243,-17649910977,12441160,-176499109.770,124411.600
78,20863651199,3276200685,3276200693,20938553073,-17624901447,37450933,-176249014.470,374509.330
79,20938659072,3277200391,3277200400,20939552640,-17661905460,446779,-176619054.600,4467.790
80,20939658404,3297038375,3297038388,20959390565,-17652486103,9866074,-176524861.030,98660.740
81,20959496390,3301193023,3301193032,20963545148,-17660327741,2024374,-176603277.410,20243.740
82,20963650979,3396193894,3396193904,21058546206,-17614904693,47447608,-176149046.930,474476.080
83,21058652199,3397200292,3397200301,21059552574,-17661902090,450183,-176619020.900,4501.830
84,21059658471,3401193102,3401193110,21063545216,-17660408737,1943368,-176604087.370,19433.680
85,21063651066,3417170924,3417170932,21079523221,-17654416215,7936073,-176544162.150,79360.730
