ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,21585261413,4001193014,4001193022,21663545586,-17623210481,39142082,-176232104.810,391420.820
2,21663651863,4092193905,4092193914,21754546262,-17616905153,45447195,-176169051.530,454471.950
3,21754652313,4093200412,4093200421,21755552688,-17661902084,450183,-176619020.840,4501.830
4,21755658535,4101193077,4101193089,21763545213,-17658408791,3943333,-176584087.910,39433.330
5,21763651005,4113177240,4113177248,21775529477,-17656412997,5939232,-176564129.970,59392.320
6,21775635435,4201193123,4201193132,21863545534,-17618397357,43955045,-176183973.570,439550.450
7,21863651532,4202200295,4202200303,21864552582,-17661901758,450521,-176619017.580,4505.210
8,21864658417,4222193705,4222193713,21884546178,-17652408588,9943876,-176524085.880,99438.760
9,21884652078,4247189570,4247189579,21909541912,-17649907420,12444912,-176499074.200,124449.120
10,21909647836,4301193967,4301193975,21963546204,-17635403049,26949180,-176354030.490,269491.800
11,21963652134,4335189225,4335189233,21997541483,-17645407579,16944670,-176454075.790,169446.700
12,21997647309,4336189018,4336189028,21998541390,-17661905326,447035,-176619053.260,4470.350
13,21998647220,4349208991,4349209000,22011561263,-17655895246,6457017,-176558952.460,64570.170
14,22011667058,4401194005,4401194014,22063546408,-17636412723,25939670,-176364127.230,259396.700
15,22063652286,4451189104,4451189110,22113541561,-17637407816,24944634,-176374078.160,249446.340
16,22113647611,4452208454,4452208464,22114560600,-17661895646,456489,-176618956.460,4564.890
17,22114666509,4472152197,4472152203,22134504543,-17652433326,9919014,-176524333.260,99190.140
18,22134610515,4501193650,4501193657,22163545922,-17647884565,14467700,-176478845.650,144677.000
19,22163651908,4502188952,4502188961,22164541212,-17661907603,444647,-176619076.030,4446.470
20,22164647068,4522076861,4522076869,22184429095,-17652461216,9891009,-176524612.160,98910.090
21,22184535006,4553189760,4553189766,22215542123,-17646848801,15503555,-176468488.010,155035.550
22,22215647938,4554184461,4554184471,22216536719,-17661907862,444385,-176619078.620,4443.850
23,22216642523,4574040326,4574040334,22236392602,-17652477232,9875035,-176524772.320,98750.350
24,22236498514,4601193013,4601193020,22263545216,-17648828848,13523347,-176488288.480,135233.470
25,22263651108,4604185860,4604185870,22266538088,-17660908733,1443485,-176609087.330,14434.850
26,22266643913,4701193053,4701193061,22363545405,-17613901602,48450742,-176139016.020,484507.420
27,22363651394,4702200234,4702200243,22364552427,-17661901672,450512,-176619016.720,4505.120
28,22364658304,4706188918,4706188926,22368541113,-17660410786,1941400,-176604107.860,19414.000
29,22368646876,4757185732,4757185740,22419538051,-17636906727,25445583,-176369067.270,254455.830
30,22419643867,4801193089,4801193098,22463545343,-17640401511,21950733,-176404015.110,219507.330
31,22463651273,4857194574,4857194582,22519546905,-17634404511,27947812,-176344045.110,279478.120
32,22519652930,4858200344,4858200353,22520552477,-17661902355,449769,-176619023.550,4497.690
33,22520658378,4878156892,4878156901,22540509089,-17652426837,9925351,-176524268.370,99253.510
34,22540614914,4901193006,4901193015,22563545155,-17650887024,11465116,-176508870.240,114651.160
35,22563650995,4978168133,4978168141,22640520479,-17623917600,38434738,-176239176.000,384347.380
36,22640626452,5001193097,5001193104,22663545396,-17650892823,11459468,-176508928.230,114594.680
37,22663651309,5078179296,5078179303,22740531602,-17623912156,38440143,-176239121.560,384401.430
38,22740637544,5101193098,5101193105,22763545251,-17650898296,11453850,-176508982.960,114538.500
39,22763651071,5102200309,5102200318,22764552476,-17661901460,450698,-176619014.600,4506.980
40,22764658266,5114190711,5114190719,22776543092,-17656409964,5942409,-176564099.640,59424.090
41,22776649039,5165185179,5165185186,22827537499,-17636908086,25444226,-176369080.860,254442.260
42,22827643314,5201193039,5201193049,22863545301,-17644401263,17950988,-176444012.630,179509.880
43,22863652913,5265194354,5265194363,22927546790,-17630405493,31946934,-176304054.930,319469.340
44,22927652787,5266200478,5266200487,22928552762,-17661902292,449983,-176619022.920,4499.830
45,22928658524,5286165604,5286165613,22948517832,-17652422569,9929649,-176524225.690,99296.490
46,22948623713,5301192926,5301192934,22963545180,-17654891516,7460729,-176548915.160,74607.290
47,22963650951,5375211757,5375211765,23037564179,-17625395804,36956610,-176253958.040,369566.100
48,23037670118,5376200266,5376200276,23038552510,-17661911043,441191,-176619110.430,4411.910
49,23038658281,5386189666,5386189676,23048541980,-17657410459,4941844,-176574104.590,49418.440
50,23048647839,5396185131,5396185139,23058537443,-17657407506,4944798,-176574075.060,49447.980
51,23058643373,5401193062,5401193072,23063545290,-17659901264,2450953,-176599012.640,24509.530
52,23063651082,5496192823,5496192832,23158545292,-17614905359,47447100,-176149053.590,474471.000
53,23158651336,5497194572,5497194581,23159546877,-17661904530,447766,-176619045.300,4477.660
54,23159652708,5501193890,5501193899,23163546115,-17660405517,1946699,-176604055.170,19466.990
55,23163651897,5522189178,5522189185,23184541498,-17651907516,10444797,-176519075.160,104447.970
56,23184647318,5573185259,5573185267,23235537825,-17636907308,25445249,-176369073.080,254452.490
57,23235643792,5601193174,5601193183,23263545395,-17648401415,13950797,-176484014.150,139507.970
58,23263651243,5602200184,5602200192,23264552369,-17661901618,450559,-176619016.180,4505.590
59,23264658104,5624190859,5624190867,23286543287,-17651409832,10942587,-176514098.320,109425.870
60,23286649299,5675185240,5675185247,23337537690,-17636908251,25444192,-176369082.510,254441.920
61,23337643656,5701193147,5701193156,23363545422,-17649401387,12950878,-176494013.870,129508.780
62,23363651255,5775194366,5775194374,23437546707,-17625404611,36947722,-176254046.110,369477.220
63,23437652719,5776200329,5776200338,23438552635,-17661902343,449953,-176619023.430,4499.530
64,23438658461,5796171031,5796171042,23458523368,-17652419878,9932448,-176524198.780,99324.480
65,23458629350,5801192975,5801192983,23463545179,-17659894285,2457910,-176598942.850,24579.100
66,23463651013,5896182176,5896182183,23558534565,-17614910609,47441772,-176149106.090,474417.720
67,23558640556,5901193030,5901193040,23563545245,-17659899865,2452339,-176598998.650,24523.390
68,23563651025,5996193507,5996193514,23658545862,-17614904933,47447415,-176149049.330,474474.150
69,23658651863,6001193001,6001193008,23663545231,-17659905542,2446680,-176599055.420,24466.800
70,23663651004,6002200398,6002200406,23664552565,-17661901382,450776,-176619013.820,4507.760
71,23664658322,6022197002,6022197010,23684549267,-17652406788,9945468,-176524067.880,99454.680
72,23684655198,6101193152,6101193161,23763545329,-17622907107,39445061,-176229071.070,394450.610
73,23763651255,6183193978,6183193988,23845546168,-17621404728,40947451,-176214047.280,409474.510
74,23845652005,6184200408,6184200416,23846552667,-17661901924,450327,-176619019.240,4503.270
75,23846658504,6201193046,6201193057,23863545246,-17653908823,8443365,-176539088.230,84433.650
76,23863651119,6204175167,6204175176,23866527364,-17660914070,1438118,-176609140.700,14381.180
77,23866633220,6299175956,6299175964,23961528331,-17614904815,47447551,-176149048.150,474475.510
78,23961634317,6301192969,6301192979,23963545187,-17661396778,955430,-176613967.780,9554.300
