ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,29631763127,11999189111,11999189117,29661541697,-17647463298,14889282,-176474632.980,148892.820
2,29661647917,12001193817,12001193827,29663546102,-17661403187,949087,-176614031.870,9490.870
3,29663651959,12039113684,12039113689,29701466039,-17643445312,18907037,-176434453.120,189070.370
4,29701572064,12050189562,12050189571,29712541840,-17656867385,5484883,-176568673.850,54848.830
5,29712647709,12051185054,12051185063,29713537299,-17661907445,444790,-176619074.450,4447.900
6,29713643093,12071073035,12071073044,29733425231,-17652461122,9891064,-176524611.220,98910.640
7,29733531058,12101189595,12101189602,29763541936,-17647346898,15005435,-176473468.980,150054.350
8,29763647862,12152185065,12152185071,29814537402,-17636907564,25444767,-176369075.640,254447.670
9,29814643366,12153193311,12153193320,29815545449,-17661901092,451037,-176619010.920,4510.370
10,29815651263,12173149428,12173149437,29835501595,-17652426996,9925161,-176524269.960,99251.610
11,29835607494,12201193042,12201193050,29863545191,-17648383296,13968844,-176483832.960,139688.440
12,29863651072,12273160556,12273160564,29935513022,-17626421487,35930971,-176264214.870,359309.710
13,29935619020,12301192924,12301192929,29963545100,-17648389133,13963037,-176483891.330,139630.370
14,29963650942,12373171849,12373171856,30035524134,-17626415685,35936592,-176264156.850,359365.920
15,30035630114,12401192991,12401192996,30063545242,-17648394684,13957561,-176483946.840,139575.610
16,30063651112,12402200350,12402200359,30064552503,-17661901453,450691,-176619014.530,4506.910
17,30064658390,12407188848,12407188855,30069541107,-17659910897,2441355,-176599108.970,24413.550
18,30069646903,12458197384,12458197392,30120549809,-17636900968,25451449,-176369009.680,254514.490
19,30120655820,12501193871,12501193876,30163546264,-17640907168,21445219,-176409071.680,214452.190
20,30163652143,12509188985,12509188992,30171541277,-17658407721,3944563,-176584077.210,39445.630
21,30171647128,12510188731,12510188740,30172540939,-17661905298,446901,-176619052.980,4469.010
22,30172646727,12530161226,12530161237,30192513391,-17652418827,9933326,-176524188.270,99333.260
23,30192619226,12560209178,12560209186,30222561460,-17647381161,14971113,-176473811.610,149711.130
24,30222667384,12601193762,12601193768,30263545991,-17641912922,20439300,-176419129.220,204393.000
25,30263651840,12611189332,12611189340,30273541614,-17657407391,4944883,-176574073.910,49448.830
26,30273647505,12612188955,12612188965,30274541227,-17661905406,446856,-176619054.060,4468.560
27,30274647049,12632118499,12632118506,30294470824,-17652440434,9911884,-176524404.340,99118.840
28,30294576799,12662189662,12662189672,30324541993,-17647369729,14982592,-176473697.290,149825.920
29,30324647838,12701193773,12701193784,30363546009,-17642903145,19449080,-176429031.450,194490.800
30,30363651806,12713189545,12713189554,30375541761,-17656407234,5944973,-176564072.340,59449.730
31,30375647538,12714188821,12714188831,30376541112,-17661905499,446782,-176619054.990,4467.820
32,30376647005,12734145708,12734145717,30396497946,-17652426763,9925466,-176524267.630,99254.660
33,30396603870,12764189245,12764189252,30426541485,-17647383429,14968804,-176473834.290,149688.040
34,30426647312,12801193727,12801193736,30463545967,-17643902908,18449323,-176439029.080,184493.230
35,30463651765,12815189800,12815189808,30477542062,-17655407109,6945144,-176554071.090,69451.440
36,30477647836,12816188904,12816188912,30478541246,-17661905633,446701,-176619056.330,4467.010
37,30478647187,12836141551,12836141562,30498493754,-17652428914,9923278,-176524289.140,99232.780
38,30498599577,12866189261,12866189268,30528541681,-17647381364,14971048,-176473813.640,149710.480
39,30528647640,12901193714,12901193723,30563546052,-17644903127,17449201,-176449031.270,174492.010
40,30563651855,12917193138,12917193147,30579545550,-17654405560,7946843,-176544055.600,79468.430
41,30579651396,12917497952,12917497961,30579850208,-17662252845,99401,-176622528.450,994.010
42,30579957703,12918188818,12918188827,30580541096,-17662060577,291692,-176620605.770,2916.920
43,30580646850,12936979798,12936979806,30599332206,-17653009726,9342674,-176530097.260,93426.740
44,30599438125,12968189300,12968189309,30630541652,-17646800584,15551759,-176468005.840,155517.590
45,30630647526,13001193792,13001193799,30663546076,-17645903005,16449271,-176459030.050,164492.710
46,30663651911,13019189454,13019189460,30681541851,-17653407424,8944967,-176534074.240,89449.670
47,30681647784,13020188939,13020188949,30682541151,-17661905523,446678,-176619055.230,4466.780
48,30682646936,13040142776,13040142786,30702494969,-17652428171,9924011,-176524281.710,99240.110
49,30702600774,13070189728,13070189734,30732542241,-17647381776,14970730,-176473817.760,149707.300
50,30732648248,13101193770,13101193779,30763546010,-17646903354,15448876,-176469033.540,154488.760
51,30763651799,13121189374,13121189383,30783541949,-17652407495,9945070,-176524074.950,99450.700
52,30783647957,13122188764,13122188775,30784541093,-17661905755,446562,-176619057.550,4465.620
53,30784646886,13142148535,13142148542,30804500839,-17652425324,9926973,-176524253.240,99269.730
54,30804606691,13172189636,13172189644,30834541994,-17647384702,14967647,-176473847.020,149676.470
55,30834647835,13201193687,13201193695,30863545878,-17647903165,14449017,-176479031.650,144490.170
56,30863651794,13223189471,13223189477,30885541952,-17651407399,10945076,-176514073.990,109450.760
57,30885647815,13224188847,13224188857,30886541136,-17661905623,446655,-176619056.230,4466.550
58,30886646964,13244146988,13244146998,30906499252,-17652426115,9926139,-176524261.150,99261.390
59,30906605050,13274189255,13274189263,30936541579,-17647384055,14968260,-176473840.550,149682.600
60,30936647365,13301193904,13301193913,30963546122,-17648902835,13449374,-176489028.350,134493.740
61,30963651936,13325189260,13325189268,30987541634,-17650407521,11944845,-176504075.210,119448.450
62,30987647454,13326188846,13326188857,30988541051,-17661905401,446793,-176619054.010,4467.930
63,30988646805,13346141586,13346141596,31008493829,-17652428726,9923507,-176524287.260,99235.070
64,31008599658,13376189230,13376189236,31038541587,-17647381389,14970961,-176473813.890,149709.610
65,31038647556,13401193794,13401193803,31063546103,-17649903031,12449269,-176499030.310,124492.690
66,31063651920,13427193132,13427193139,31089545690,-17649405669,12946881,-176494056.690,129468.810
67,31089651618,13427496777,13427496786,31089848987,-17662253521,98680,-176622535.210,986.800
68,31089954755,13428188851,13428188859,31090541149,-17662059097,293193,-176620590.970,2931.930
69,31090646875,13446977998,13446978006,31109330276,-17653010573,9341696,-176530105.730,93416.960
70,31109436278,13478189257,13478189263,31140541830,-17646799794,15552773,-176467997.940,155527.730
71,31140647756,13501193810,13501193821,31163546137,-17650903131,11449185,-176509031.310,114491.850
72,31163651979,13529189948,13529189955,31191542278,-17648407177,13945146,-176484071.770,139451.460
73,31191648225,13530188787,13530188797,31192541172,-17661905906,446468,-176619059.060,4464.680
74,31192647044,13550143166,13550143175,31212495455,-17652428079,9924201,-176524280.790,99242.010
75,31212601325,13580189680,13580189687,31242542025,-17647381991,14970346,-176473819.910,149703.460
76,31242647845,13601193826,13601193835,31263546027,-17651903105,10449086,-176519031.050,104490.860
77,31263651834,13631189153,13631189159,31293541507,-17647407514,14944833,-176474075.140,149448.330
78,31293647438,13632188848,13632188859,31294541057,-17661905394,446804,-176619053.940,4468.040
79,31294646896,13652147343,13652147351,31314499562,-17652425882,9926329,-176524258.820,99263.290
80,31314605346,13682189083,13682189091,31344541407,-17647384289,14968026,-176473842.890,149680.260
81,31344647199,13701193746,13701193755,31363546044,-17652902871,9449418,-176529028.710,94494.180
82,31363651846,13733189503,13733189510,31395541872,-17646407352,15945009,-176464073.520,159450.090
83,31395647754,13734188789,13734188799,31396541018,-17661905592,446627,-176619055.920,4466.270
84,31396648457,13754151707,13754151717,31416503959,-17652424496,9927746,-176524244.960,99277.460
85,31416609801,13784189619,13784189626,31446541927,-17647386241,14966059,-176473862.410,149660.590
86,31446647784,13801193833,13801193842,31463546102,-17653903105,8449154,-176539031.050,84491.540
87,31463652010,13835189114,13835189120,31497541634,-17645407705,16944809,-176454077.050,169448.090
88,31497647700,13836188840,13836188850,31498541211,-17661905610,446750,-176619056.100,4467.500
89,31498646992,13856155058,13856155066,31518507358,-17652422113,9930179,-176524221.130,99301.790
90,31518613318,13886189241,13886189247,31548541633,-17647388231,14964154,-176473882.310,149641.540
91,31548647575,13901193862,13901193871,31563546207,-17654903024,7449311,-176549030.240,74493.110
92,31563652072,13937193193,13937193200,31599545613,-17644405646,17946767,-176444056.460,179467.670
93,31599651439,13937497989,13937497998,31599850159,-17662252805,99355,-176622528.050,993.550
94,31599955945,13938188950,13938188958,31600541239,-17662059638,292643,-176620596.380,2926.430
95,31600647103,13956981982,13956981991,31619334223,-17653008676,9343555,-176530086.760,93435.550
96,31619440141,13988189152,13988189159,31650541453,-17646801641,15550652,-176468016.410,155506.520
97,31650647342,14001193817,14001193827,31663546135,-17655902916,6449391,-176559029.160,64493.910
98,31663651955,14039189414,14039189421,31701541911,-17643407515,18944974,-176434075.150,189449.740
99,31701647806,14040188935,14040188944,31702541229,-17661905578,446707,-176619055.780,4467.070
100,31702647040,14060149030,14060149040,31722501228,-17652425099,9927089,-176524250.990,99270.890
summary: samples=100 offset_avg_cycles=-17651951031.410 offset_avg_us=-176519510.314 latency_avg_cycles=10401265.260 offset_min=-17662253521 offset_max=-17626415685
