ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,13795465687,6402248689,6402248696,13889234976,-7440101639,46884641,-74401016.390,468846.410
2,13889341266,6403255833,6403255840,13890241928,-7486535760,450327,-74865357.600,4503.270
3,13890347906,6423245229,6423245236,13910233540,-7477045490,9942813,-74770454.900,99428.130
4,13910339479,6432246315,6432246322,13919232525,-7482539683,4446519,-74825396.830,44465.190
5,13919338429,6448241095,6448241103,13935227344,-7479041787,7944453,-74790417.870,79444.530
6,13935333268,6502248804,6502248812,13989234962,-7460035307,26950843,-74600353.070,269508.430
7,13989340937,6593249874,6593249883,14080236175,-7441538677,45447614,-74415386.770,454476.140
8,14080342112,6594256073,6594256080,14081242176,-7486536067,450028,-74865360.670,4500.280
9,14081348076,6602248686,6602248695,14089234720,-7483042707,3943317,-74830427.070,39433.170
10,14089340578,6614224242,6614224247,14101210608,-7481051348,5935012,-74810513.480,59350.120
11,14101316616,6702248670,6702248676,14189234894,-7443027082,43959136,-74430270.820,439591.360
12,14189340885,6703256065,6703256074,14190242143,-7486535444,450624,-74865354.440,4506.240
13,14190348027,6723248459,6723248468,14210234554,-7477042827,9943259,-74770428.270,99432.590
14,14210340499,6802248740,6802248749,14289234960,-7447538985,39447226,-74475389.850,394472.260
15,14289340873,6897249225,6897249232,14384235442,-7439538929,47447281,-74395389.290,474472.810
16,14384341383,6898256084,6898256094,14385242193,-7486535699,450400,-74865356.990,4504.000
17,14385348099,6901244696,6901244703,14388231882,-7485545291,1441888,-74855452.910,14418.880
18,14388337822,6902249474,6902249484,14389235560,-7486537212,448864,-74865372.120,4488.640
19,14389341462,6936244634,6936244640,14423231806,-7470041997,16945169,-74700419.970,169451.690
20,14423337838,6952240900,6952240911,14439227191,-7479041609,7944671,-74790416.090,79446.710
21,14439333154,7002248684,7002248693,14489234748,-7462035262,24950792,-74620352.620,249507.920
22,14489340673,7003272421,7003272430,14490258496,-7486527159,458907,-74865271.590,4589.070
23,14490364354,7098272560,7098272566,14585258841,-7439539034,47447240,-74395390.340,474472.400
24,14585364784,7102248677,7102248684,14589234695,-7485051059,1934952,-74850510.590,19349.520
25,14589340627,7197249321,7197249330,14684235588,-7439538782,47447476,-74395387.820,474474.760
26,14684341522,7198256224,7198256232,14685242313,-7486535689,450391,-74865356.890,4503.910
27,14685348216,7202248795,7202248804,14689234869,-7485042743,1943322,-74850427.430,19433.220
28,14689340764,7218245913,7218245922,14705233812,-7479041370,7946519,-74790413.700,79465.190
