ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,11190490681,3723269586,3723269592,11210256329,-7477103916,9882821,-74771039.160,98828.210
2,11210362561,3802248739,3802248747,11289234806,-7447549940,39436118,-74475499.400,394361.180
3,11289340888,3890249833,3890249843,11377236125,-7443038668,43947613,-74430386.680,439476.130
4,11377342109,3891256110,3891256119,11378242205,-7486536042,450043,-74865360.420,4500.430
5,11378348103,3902248746,3902248756,11389234895,-7481542748,5443391,-74815427.480,54433.910
6,11389340884,3911225060,3911225071,11398211124,-7482550938,4435114,-74825509.380,44351.140
7,11398317060,4002248679,4002248688,11489234961,-7441527327,45458946,-74415273.270,454589.460
8,11489340886,4003256079,4003256087,11490242232,-7486535476,450669,-74865354.760,4506.690
9,11490348086,4023260051,4023260059,11510246266,-7477037121,9949086,-74770371.210,99490.860
10,11510352188,4045245155,4045245164,11532232178,-7476047023,10939990,-74760470.230,109399.900
11,11532338131,4102249576,4102249585,11589235863,-7458537416,28448861,-74585374.160,284488.610
12,11589341819,4147264792,4147264802,11634251251,-7464531738,22454711,-74645317.380,224547.110
13,11634357269,4148244602,4148244609,11635232117,-7486550087,437420,-74865500.870,4374.200
14,11635338006,4167814313,4167814323,11654800418,-7477254894,9731201,-74772548.940,97312.010
15,11654906336,4198244653,4198244660,11685231839,-7471824431,15162748,-74718244.310,151627.480
16,11685337738,4202249441,4202249454,11689235481,-7485037162,1948865,-74850371.620,19488.650
17,11689341397,4249244972,4249244979,11736232048,-7463541747,23445322,-74635417.470,234453.220
18,11736337981,4250244439,4250244450,11737231545,-7486540318,446776,-74865403.180,4467.760
19,11737337422,4270201833,4270201843,11757188013,-7477060879,9925290,-74770608.790,99252.900
20,11757293971,4300248658,4300248667,11787240902,-7472018774,14973461,-74720187.740,149734.610
21,11787346830,4300552330,4300552338,11787538302,-7486890232,95732,-74868902.320,957.320
22,11787644136,4302249469,4302249477,11789235511,-7486190350,795683,-74861903.500,7956.830
23,11789341417,4336245115,4336245123,11823232186,-7470041682,16945380,-74700416.820,169453.800
24,11823338163,4351240947,4351240954,11838227141,-7479541701,7444485,-74795417.010,74444.850
25,11838333096,4352256042,4352256051,11839242114,-7486531558,454504,-74865315.580,4545.040
26,11839348016,4372293144,4372293152,11859279238,-7477020479,9965607,-74770204.790,99656.070
27,11859385140,4402240515,4402240521,11889226762,-7472065433,14920808,-74720654.330,149208.080
28,11889332696,4453240238,4453240247,11940226408,-7461539309,25446851,-74615393.090,254468.510
29,11940332321,4454256036,4454256044,11941242116,-7486531178,454893,-74865311.780,4548.930
30,11941347980,4474278269,4474278276,11961264394,-7477027914,9958203,-74770279.140,99582.030
31,11961370328,4502248714,4502248722,11989234890,-7473053891,13932277,-74730538.910,139322.770
32,11989340824,4504241014,4504241022,11991227099,-7486042943,943133,-74860429.430,9431.330
33,11991332965,4602248790,4602248797,12089235135,-7438035256,48951081,-74380352.560,489510.810
34,12089341064,4603256113,4603256122,12090242204,-7486535516,450565,-74865355.160,4505.650
35,12090348088,4606244633,4606244642,12093232056,-7485545434,1441979,-74855454.340,14419.790
36,12093337967,4657240937,4657240946,12144227300,-7461541692,25444662,-74615416.920,254446.620
37,12144333201,4702248812,4702248820,12189234987,-7464535278,22450889,-74645352.780,224508.890
38,12189340884,4757250119,4757250128,12244236480,-7459538558,27447793,-74595385.580,274477.930
39,12244342381,4758256164,4758256173,12245242241,-7486536142,449925,-74865361.420,4499.250
40,12245348121,4778224089,4778224100,12265210220,-7477055076,9931044,-74770550.760,99310.440
41,12265316094,4802248703,4802248708,12289234750,-7475026716,11959325,-74750267.160,119593.250
42,12289340694,4878235301,4878235308,12365221463,-7449045774,37940381,-74490457.740,379403.810
43,12365327407,4888245108,4888245117,12375232097,-7482034639,4952340,-74820346.390,49523.400
44,12375340199,4902245335,4902245343,12389231572,-7480040546,6945682,-74800405.460,69456.820
45,12389337602,4910244697,4910244705,12397232194,-7483040197,3947292,-74830401.970,39472.920
46,12397338143,4923240658,4923240668,12410232462,-7480544639,6447154,-74805446.390,64471.540
47,12410338390,5002248733,5002248744,12489234966,-7447537939,39448282,-74475379.390,394482.820
48,12489340892,5003255974,5003255984,12490242018,-7486535476,450558,-74865354.760,4505.580
49,12490347879,5009245801,5009245810,12496232190,-7484044229,2942151,-74840442.290,29421.510
50,12496338177,5102249623,5102249631,12589235945,-7440537434,46448880,-74405374.340,464488.800
51,12589341863,5116244850,5116244859,12603231922,-7480042038,6945025,-74800420.380,69450.250
52,12603337850,5117264116,5117264126,12604250182,-7486529895,456161,-74865298.950,4561.610
53,12604356051,5118244665,5118244674,12605231719,-7486549215,437829,-74865492.150,4378.290
54,12605337606,5156783384,5156783395,12643769588,-7467770207,19215985,-74677702.070,192159.850
55,12643875482,5167248669,5167248679,12654241100,-7481809617,5182804,-74818096.170,51828.040
56,12654346992,5167554414,5167554422,12654540405,-7486889280,96702,-74868892.800,967.020
57,12654646256,5173196134,5173196144,12660182146,-7484218062,2767940,-74842180.620,27679.400
58,12660287982,5202249479,5202249486,12689235732,-7472512374,14473871,-74725123.740,144738.710
59,12689341683,5218245464,5218245472,12705232083,-7479041415,7945196,-74790414.150,79451.960
60,12705337980,5269240791,5269240800,12756227085,-7461541737,25444548,-74615417.370,254445.480
61,12756333036,5270248919,5270248928,12757234984,-7486535086,450969,-74865350.860,4509.690
62,12757340849,5290214586,5290214593,12777200708,-7477056189,9929926,-74770561.890,99299.260
63,12777306657,5302248722,5302248729,12789234802,-7481022004,5964069,-74810220.040,59640.690
64,12789340735,5320240613,5320240620,12807227057,-7478043279,8943157,-74780432.790,89431.570
65,12807333010,5402251802,5402251809,12889238333,-7446033866,40952658,-74460338.660,409526.580
66,12889344400,5402398750,5402398761,12889384429,-7486965659,20009,-74869656.590,200.090
67,12889490315,5403258352,5403258364,12890244511,-7486609055,377092,-74866090.550,3770.920
68,12890350399,5414246064,5414246073,12901232359,-7481545310,5440975,-74815453.100,54409.750
69,12901338279,5424241119,5424241129,12911227359,-7482041695,4944535,-74820416.950,49445.350
70,12911333278,5425136118,5425136128,12912124866,-7486592949,395789,-74865929.490,3957.890
71,12912230796,5442086368,5442086379,12929072554,-7478565301,8420873,-74785653.010,84208.730
72,12929178458,5447244633,5447244641,12934232040,-7484460612,2526787,-74844606.120,25267.870
73,12934337923,5502249771,5502249779,12989235862,-7459537117,27448965,-74595371.170,274489.650
74,12989341771,5513244863,5513244872,13000231977,-7481542006,5445098,-74815420.060,54450.980
75,13000337970,5514244580,5514244590,13001232012,-7486540406,447016,-74865404.060,4470.160
76,13001337913,5524244723,5524244733,13011232168,-7482040312,4947122,-74820403.120,49471.220
77,13011338059,5575240788,5575240796,13062227153,-7461541814,25444543,-74615418.140,254445.430
78,13062333133,5602248789,5602248798,13089234996,-7473535271,13450927,-74735352.710,134509.270
79,13089340959,5690249666,5690249674,13177235806,-7443038712,43947419,-74430387.120,439474.190
80,13177341728,5691256116,5691256125,13178242157,-7486535822,450210,-74865358.220,4502.100
81,13178348055,5702248722,5702248730,13189234814,-7481542708,5443375,-74815427.080,54433.750
82,13189340674,5711236053,5711236061,13198222082,-7482545321,4440700,-74825453.210,44407.000
83,13198328016,5802248680,5802248690,13289234886,-7441532766,45453430,-74415327.660,454534.300
84,13289340825,5803256031,5803256039,13290242100,-7486535427,450633,-74865354.270,4506.330
85,13290347960,5823247879,5823247888,13310235510,-7477043851,9943770,-74770438.510,99437.700
86,13310341430,5830245146,5830245154,13317232091,-7483541610,3445326,-74835416.100,34453.260
87,13317338027,5902249522,5902249530,13389235560,-7451037267,35948762,-74510372.670,359487.620
88,13389343170,5928245492,5928245501,13415232302,-7474042239,12944561,-74740422.390,129445.610
89,13415338274,5929244516,5929244526,13416231898,-7486540565,446807,-74865405.650,4468.070
90,13416337790,5932240682,5932240692,13419226802,-7485541609,1444501,-74855416.090,14445.010
91,13419332683,6002248782,6002248790,13489234830,-7452034970,34951069,-74520349.700,349510.690
92,13489340789,6009049992,6009049998,13496036341,-7483638570,3347773,-74836385.700,33477.730
93,13496142307,6102248688,6102248695,13589235082,-7440440003,46546384,-74404400.030,465463.840
94,13589341051,6103256021,6103256030,13590242118,-7486535559,450529,-74865355.590,4505.290
95,13590348076,6123248505,6123248514,13610234682,-7477042869,9943298,-74770428.690,99432.980
96,13610340620,6202248710,6202248719,13689234885,-7447539038,39447128,-74475390.380,394471.280
97,13689340839,6287249634,6287249643,13774235828,-7444538695,42447490,-74445386.950,424474.900
98,13774341723,6288256069,6288256078,13775242134,-7486535855,450201,-74865358.550,4502.010
99,13775348042,6302248797,6302248805,13789234930,-7480042685,6943440,-74800426.850,69434.400
100,13789340855,6308233554,6308233562,13795219640,-7484046689,2939388,-74840466.890,29393.880
summary: samples=100 offset_avg_cycles=-7474015384.570 offset_avg_us=-74740153.846 latency_avg_cycles=12971187.500 offset_min=-7486965659 offset_max=-7438035256
