ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,16633484897,9166282163,9166282169,16653268964,-7477094764,9892030,-74770947.640,98920.300
2,16653375131,9202248670,9202248681,16689235016,-7469056398,17929937,-74690563.980,179299.370
3,16689341066,9296250091,9296250095,16783236328,-7440038604,46947629,-74400386.040,469476.290
4,16783342306,9297256167,9297256175,16784242287,-7486536125,449986,-74865361.250,4499.860
5,16784348178,9302248778,9302248787,16789234823,-7484542718,2443318,-74845427.180,24433.180
6,16789340729,9317221682,9317221689,16804207782,-7479552570,7433523,-74795525.700,74335.230
7,16804313702,9402248757,9402248764,16889234999,-7444525590,42460645,-74445255.900,424606.450
8,16889341005,9403256186,9403256195,16890242239,-7486535431,450612,-74865354.310,4506.120
9,16890348117,9423250286,9423250293,16910238913,-7477043225,9945394,-74770432.250,99453.940
10,16910344884,9451245137,9451245144,16938232021,-7473043312,13943565,-74730433.120,139435.650
11,16938338016,9502249748,9502249756,16989235782,-7461537147,25448879,-74615371.470,254488.790
12,16989341714,9602249612,9602249618,17089235955,-7437039219,49947117,-74370392.190,499471.170
13,17089341897,9603244725,9603244733,17090231539,-7486541989,444817,-74865419.890,4448.170
14,17090337414,9623127181,9623127190,17110113359,-7477098201,9887968,-74770982.010,98879.680
15,17110219269,9655244772,9655244779,17142231602,-7470980660,16006163,-74709806.600,160061.630
16,17142337505,9702249510,9702249518,17189235712,-7463537094,23449099,-74635370.940,234490.990
17,17189341688,9706244735,9706244741,17193231452,-7485041832,1944879,-74850418.320,19448.790
18,17193337310,9707264330,9707264340,17194250341,-7486529490,456510,-74865294.900,4565.100
19,17194356266,9712245019,9712245027,17199231939,-7484549079,2437832,-74845490.790,24378.320
20,17199337804,9757240909,9757240916,17244227235,-7464541607,22444712,-74645416.070,224447.120
21,17244333262,9802248717,9802248723,17289234759,-7464535290,22450745,-74645352.900,224507.450
22,17289340676,9857250009,9857250016,17344236184,-7459538417,27447750,-74595384.170,274477.500
23,17344342110,9858256131,9858256141,17345242160,-7486535999,450020,-74865359.990,4500.200
24,17345348071,9878226814,9878226822,17365212972,-7477053703,9932446,-74770537.030,99324.460
25,17365318931,9902248711,9902248718,17389234859,-7475028180,11957960,-74750281.800,119579.600
26,17389340734,9978237955,9978237964,17465224080,-7449044447,37941668,-74490444.470,379416.680
27,17465330007,10002248779,10002248787,17489234947,-7475033694,11952466,-74750336.940,119524.660
28,17489340884,10078249169,10078249175,17565235414,-7449038977,37947262,-74490389.770,379472.620
29,17565341317,10102248734,10102248739,17589234855,-7475039349,11946766,-74750393.490,119467.660
30,17589340797,10103256122,10103256131,17590242216,-7486535380,450705,-74865353.800,4507.050
31,17590348128,10114245715,10114245722,17601232283,-7481544487,5442074,-74815444.870,54420.740
32,17601338208,10165240850,10165240859,17652227185,-7461541842,25444484,-74615418.420,254444.840
33,17652333089,10202248780,10202248786,17689234918,-7468535220,18450911,-74685352.200,184509.110
34,17689340849,10265250005,10265250013,17752236191,-7455538511,31447667,-74555385.110,314476.670
35,17752342159,10266256008,10266256016,17753242101,-7486536118,449967,-74865361.180,4499.670
36,17753347971,10286220122,10286220132,17773206287,-7477057002,9929153,-74770570.020,99291.530
37,17773312161,10302248679,10302248685,17789234684,-7479024740,7961258,-74790247.400,79612.580
38,17789340587,10386231407,10386231417,17873217614,-7445047688,41938508,-74450476.880,419385.080
39,17873323532,10402248658,10402248665,17889234733,-7479030471,7955597,-74790304.710,79555.970
40,17889340634,10486247138,10486247147,17973235435,-7445040892,41947396,-74450408.920,419473.960
41,17973341367,10502248545,10502248553,17989234650,-7479039459,7946637,-74790394.590,79466.370
42,17989340541,10503249041,10503249051,17990235124,-7486538786,4472timeout waiting for seq 58
86,-74865387.860,4472.860
43,17990342779,10602248720,10602248728,18089234769,-7437540050,49445991,-74375400.500,494459.910
44,18089340728,10673249534,10673249542,18160235727,-7451538689,35447495,-74515386.890,354474.950
45,18160341608,10674256083,10674256091,18161242158,-7486535796,450271,-74865357.960,4502.710
46,18161348067,10694233725,10694233734,18181219875,-7477050241,9935899,-74770502.410,99358.990
47,18181325732,10702248603,10702248609,18189234767,-7483031643,3954514,-74830316.430,39545.140
48,18189340746,10794246177,10794246185,18281232401,-7441040392,45945823,-74410403.920,459458.230
49,18281338303,10802248694,10802248701,18289234693,-7483037800,3948191,-74830378.000,39481.910
50,18289340602,10894249203,10894249212,18381235364,-7441038775,45947376,-74410387.750,459473.760
51,18381341296,10902248677,10902248686,18389234741,-7483039337,3946718,-74830393.370,39467.180
52,18389340653,10903256050,10903256059,18390242043,-7486535293,450690,-74865352.930,4506.900
53,18390347904,10923253053,10923253061,18410239151,-7477040470,9945619,-74770404.700,99456.190
54,18410345050,11002248669,11002248677,18489234808,-7447541256,39444875,-74475412.560,394448.750
55,18489340738,11081249622,11081249629,18568235845,-7447538666,39447550,-74475386.660,394475.500
56,18568341805,11082256024,11082256032,18569242128,-7486535938,450157,-74865359.380,4501.570
57,18569348012,11102229132,11102229139,18589215158,-7477052449,9933569,-74770524.490,99335.690
