ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,27315874135,9701193171,9701193177,27363545679,-17638516733,23835769,-176385167.330,238357.690
2,27363651805,9704185317,9704185326,27366537672,-17660909417,1442929,-176609094.170,14429.290
3,27366643548,9705216467,9705216479,27367568641,-17661889621,462540,-176618896.210,4625.400
4,27367674497,9725230620,9725230628,27387583127,-17652398188,9954311,-176523981.880,99543.110
5,27387689172,9801193139,9801193147,27463545473,-17624424179,37928146,-176244241.790,379281.460
6,27463651399,9855194150,9855194158,27517546468,-17635404779,26947530,-176354047.790,269475.300
7,27517652358,9856200269,9856200278,27518552461,-17661902136,450047,-176619021.360,4500.470
8,27518658252,9876167595,9876167603,27538519870,-17652421462,9930805,-176524214.620,99308.050
9,27538625704,9901192955,9901192963,27563545150,-17649892468,12459719,-176498924.680,124597.190
10,27563651005,9976178879,9976178887,27638531129,-17624912184,37440058,-176249121.840,374400.580
11,27638637047,10001192989,10001192997,27663545198,-17649898129,12454071,-176498981.290,124540.710
12,27663650992,10076192886,10076192895,27738545240,-17624905225,37447119,-176249052.250,374471.190
13,27738651279,10101192900,10101192908,27763545175,-17649905323,12446944,-176499053.230,124469.440
14,27763651065,10102200171,10102200180,27764552405,-17661901559,450665,-176619015.590,4506.650
15,27764658198,10112190060,10112190069,27774542415,-17657410242,4942104,-176574102.420,49421.040
16,27774648290,10163189102,10163189110,27825541395,-17636905736,25446548,-176369057.360,254465.480
17,27825647230,10201193106,10201193114,27863545365,-17643403187,18949063,-176434031.870,189490.630
18,27863651192,10263198053,10263198061,27925550475,-17631402776,30949637,-176314027.760,309496.370
19,27925656370,10264200472,10264200481,27926552638,-17661904027,448129,-176619040.270,4481.290
20,27926658446,10284096340,10284096350,27946448632,-17652457194,9895088,-176524571.940,98950.880
21,27946554529,10301192925,10301192933,27963545156,-17653856913,8495309,-176538569.130,84953.090
22,27963651012,10384107513,10384107521,28046459860,-17620947919,41404420,-176209479.190,414044.200
23,28046565730,10401193021,10401193027,28063545216,-17653862449,8489740,-176538624.490,84897.400
24,28063651038,10484118648,10484118655,28146471042,-17620942388,41409998,-176209423.880,414099.980
25,28146576904,10501192948,10501192955,28163545207,-17653868104,8484148,-176538681.040,84841.480
26,28163651178,10502200406,10502200415,28164552672,-17661901514,450742,-176619015.140,4507.420
27,28164658467,10520190269,10520190277,28182542591,-17653410256,8942058,-176534102.560,89420.580
28,28182648409,10571196834,10571196843,28233549111,-17636901921,25450346,-176369019.210,254503.460
29,28233654926,10601193824,10601193831,28263545978,-17647406624,14945522,-176474066.240,149455.220
30,28263651785,10622189216,10622189222,28284541578,-17651907462,10444893,-176519074.620,104448.930
31,28284647442,10623188769,10623188779,28285540996,-17661905445,446772,-176619054.450,4467.720
32,28285646858,10643150806,10643150815,28305503020,-17652424128,9928076,-176524241.280,99280.760
33,28305608862,10673208900,10673208910,28335561228,-17647376140,14976178,-176473761.400,149761.780
34,28335667080,10701193788,10701193792,28363545975,-17648412737,13939445,-176484127.370,139394.450
35,28363651783,10724189826,10724189834,28386542219,-17650907171,11445214,-176509071.710,114452.140
36,28386648055,10725188873,10725188883,28387541170,-17661905734,446552,-176619057.340,4465.520
37,28387646973,10745133487,10745133497,28407485797,-17652432893,9919407,-176524328.930,99194.070
38,28407591649,10775189234,10775189241,28437541571,-17647377372,14974957,-176473773.720,149749.570
39,28437647459,10801193726,10801193735,28463545961,-17649402979,12949246,-176494029.790,129492.460
40,28463651862,10826193127,10826193135,28488545684,-17649905642,12446907,-176499056.420,124469.070
41,28488651653,10826497148,10826497157,28488849432,-17662253390,98885,-176622533.900,988.850
42,28488957210,10827188812,10827188820,28489541088,-17662060333,291935,-176620603.330,2919.350
43,28489646967,10845980011,10845980021,28508332307,-17653009621,9342665,-176530096.210,93426.650
44,28508438116,10877193145,10877193150,28539545693,-17646798757,15553786,-176467987.570,155537.860
45,28539651692,10877432592,10877432601,28539784868,-17662285683,66583,-176622856.830,665.830
46,28539890676,10881816619,10881816627,28544168841,-17660213135,2139078,-176602131.350,21390.780
47,28544274624,10901193787,10901193792,28563546039,-17652716542,9635705,-176527165.420,96357.050
48,28563651942,10928189370,10928189377,28590541721,-17648907458,13444886,-176489074.580,134448.860
49,28590647574,10929185104,10929185113,28591537306,-17661907331,444861,-176619073.310,4448.610
50,28591643132,10949063298,10949063306,28611415535,-17652466031,9886197,-176524660.310,98861.970
51,28611521372,10979189378,10979189387,28641541662,-17647342134,15010140,-176473421.340,150101.400
52,28641647579,11001193907,11001193915,28663546117,-17651402937,10949265,-176514029.370,109492.650
53,28663651966,11030189262,11030189268,28692541639,-17647907537,14444833,-176479075.370,144448.330
54,28692647501,11031185037,11031185045,28693537211,-17661907315,444851,-176619073.150,4448.510
55,28693642981,11051079036,11051079044,28713431181,-17652458041,9894096,-176524580.410,98940.960
56,28713537014,11081189047,11081189055,28743541294,-17647350103,15002136,-176473501.030,150021.360
57,28743647125,11101193802,11101193812,28763546044,-17652402777,9949454,-176524027.770,99494.540
58,28763651831,11132189829,11132189837,28794542117,-17646907141,15445139,-176469071.410,154451.390
59,28794647987,11133185032,11133185041,28795537311,-17661907612,444657,-176619076.120,4446.570
60,28795643123,11153066087,11153066094,28815418277,-17652464609,9887573,-176524646.090,98875.730
61,28815524170,11183189460,11183189467,28845542063,-17647343653,15008943,-176473436.530,150089.430
62,28845648090,11201193961,11201193970,28863546168,-17653403163,8949034,-176534031.630,89490.340
63,28863652010,11234189289,11234189296,28896541674,-17645907549,16444828,-176459075.490,164448.280
64,28896647620,11235185044,11235185052,28897537185,-17661907354,444778,-176619073.540,4447.780
65,28897643033,11255078468,11255078476,28917430756,-17652458422,9893857,-176524584.220,98938.570
